Invoice,Customer,Invoice Date,Due Date,Amount,Days Past Due,Aging Bucket
INV-4382,ARGENT RETAIL GROUP,2026-05-21,2026-06-20,37303.23,10,31-60
INV-4383,ARGENT RETAIL GROUP,2026-05-21,2026-06-20,26523.83,10,31-60
INV-4391,BRIGHTWATER INDUSTRIES,2026-02-10,2026-03-12,22010.93,110,90+
INV-4387,BRIGHTWATER INDUSTRIES,2026-06-18,2026-07-18,58785.79,0,Current
INV-4393,BRIGHTWATER INDUSTRIES,2026-06-18,2026-07-18,16356.36,0,Current
INV-4403,COPPERFIELD & SONS,2026-03-22,2026-04-21,27749.80,70,90+
INV-4399,COPPERFIELD & SONS,2026-05-06,2026-06-05,29211.81,25,31-60
INV-4397,COPPERFIELD & SONS,2026-05-21,2026-06-20,58179.54,10,31-60
INV-4410,DUNMORE WHOLESALE,2026-03-22,2026-04-21,11369.08,70,90+
INV-4406,DUNMORE WHOLESALE,2026-06-05,2026-07-05,57507.26,0,Current
INV-4415,DUNMORE WHOLESALE,2026-06-05,2026-07-05,53241.93,0,Current
INV-4411,DUNMORE WHOLESALE,2026-06-18,2026-07-18,45170.64,0,Current
INV-4417,DUNMORE WHOLESALE,2026-06-18,2026-07-18,53941.27,0,Current
INV-4427,EASTVALE DISTRIBUTION,2026-05-06,2026-06-05,50482.77,25,31-60
INV-4431,EASTVALE DISTRIBUTION,2026-05-21,2026-06-20,14930.84,10,31-60
INV-4423,EASTVALE DISTRIBUTION,2026-06-05,2026-07-05,17356.89,0,Current
INV-4421,EASTVALE DISTRIBUTION,2026-06-18,2026-07-18,25898.06,0,Current
INV-4439,FAIRLIGHT MERCANTILE,2026-06-05,2026-07-05,38645.42,0,Current
INV-4435,FAIRLIGHT MERCANTILE,2026-06-18,2026-07-18,55638.15,0,Current
INV-4442,GRANITE BAY OUTFITTERS,2026-05-21,2026-06-20,11822.00,10,31-60
INV-4447,GRANITE BAY OUTFITTERS,2026-05-21,2026-06-20,12050.79,10,31-60
INV-4446,GRANITE BAY OUTFITTERS,2026-06-18,2026-07-18,53265.30,0,Current
INV-4452,HOLLOWAY SUPPLY CO,2026-04-16,2026-05-16,51492.30,45,61-90
INV-4450,HOLLOWAY SUPPLY CO,2026-06-05,2026-07-05,53177.09,0,Current
INV-4462,IRONWOOD PARTNERS,2026-02-10,2026-03-12,55699.51,110,90+
INV-4458,IRONWOOD PARTNERS,2026-04-16,2026-05-16,6951.61,45,61-90
INV-4455,IRONWOOD PARTNERS,2026-06-05,2026-07-05,22607.88,0,Current
INV-4457,IRONWOOD PARTNERS,2026-06-05,2026-07-05,20028.77,0,Current
INV-4460,IRONWOOD PARTNERS,2026-06-05,2026-07-05,8275.39,0,Current
INV-4466,IRONWOOD PARTNERS,2026-06-18,2026-07-18,8835.27,0,Current
INV-4472,JUNIPER MERCANTILE,2026-05-06,2026-06-05,15465.17,25,31-60
INV-4469,JUNIPER MERCANTILE,2026-06-05,2026-07-05,26369.53,0,Current
INV-4470,JUNIPER MERCANTILE,2026-06-05,2026-07-05,6999.37,0,Current
INV-4473,JUNIPER MERCANTILE,2026-06-18,2026-07-18,43008.71,0,Current
