Entry No,Date,Account,Account Name,Description,Reference,Debit,Credit,Memo
JE-2601,2026-06-02,1010,Cash - Operating,CUSTOMER DEPOSIT - ARGENT RETAIL GROUP,INV-4471,48200.00,,
JE-2602,2026-06-03,1010,Cash - Operating,CHECK #10471 - NORTHGATE PROPERTY MGMT,CHK10471,,26000.00,June rent
JE-2603,2026-06-04,1010,Cash - Operating,CUSTOMER DEPOSIT - DUNMORE WHOLESALE,INV-4468,22450.00,,
JE-2604,2026-06-05,1010,Cash - Operating,CHECK #10472 - PACIFIC MATERIALS SUPPLY,CHK10472,,84200.00,PO-8821
JE-2605,2026-06-05,1010,Cash - Operating,CHECK #10473 - SUMMIT OFFICE SUPPLY,CHK10473,,3480.00,PO-8834
JE-2606,2026-06-08,1010,Cash - Operating,CUSTOMER DEPOSIT - BRIGHTWATER INDUSTRIES,INV-4475,61800.00,,
JE-2607,2026-06-09,1010,Cash - Operating,CHECK #10474 - MERIDIAN STAFFING,CHK10474,,41900.00,Week 22 contract labor
JE-2608,2026-06-10,1010,Cash - Operating,CHECK #10475 - CASCADE LOGISTICS,CHK10475,,18740.00,Freight - May
JE-2609,2026-06-11,1010,Cash - Operating,CUSTOMER DEPOSIT - EASTVALE DISTRIBUTION,INV-4479,15900.00,,
JE-2610,2026-06-12,1010,Cash - Operating,CHECK #10476 - ORION SOFTWARE LTD,CHK10476,,14200.00,Annual license
JE-2611,2026-06-12,1010,Cash - Operating,CHECK #10476 - ORION SOFTWARE LTD,CHK10476,,14200.00,Annual license (re-posted)
JE-2612,2026-06-12,1010,Cash - Operating,CHECK #10477 - BLUE RIDGE UTILITIES,CHK10477,,6820.00,Utilities - May
JE-2613,2026-06-13,1010,Cash - Operating,CHECK #10478 - SUMMIT OFFICE SUPPLY,CHK10478,,1452.00,PO-8858
JE-2614,2026-06-15,1010,Cash - Operating,PAYROLL ACH - PERIOD ENDING 06/13,ACH,,128400.00,
JE-2615,2026-06-15,1010,Cash - Operating,CUSTOMER DEPOSIT - COPPERFIELD & SONS,INV-4482,38400.00,,
JE-2616,2026-06-16,1010,Cash - Operating,CHECK #10479 - PACIFIC MATERIALS SUPPLY,CHK10479,,67300.00,PO-8849
JE-2617,2026-06-17,1010,Cash - Operating,CHECK #10480 - HARBOR POINT INSURANCE,CHK10480,,18600.00,Q2 premium
JE-2618,2026-06-18,1010,Cash - Operating,CUSTOMER DEPOSIT - ARGENT RETAIL GROUP,INV-4488,27650.00,,
JE-2619,2026-06-19,1010,Cash - Operating,CHECK #10481 - DELTA FREIGHT SERVICES,CHK10481,,12480.00,Freight - Jun wk1-2
JE-2620,2026-06-20,1010,Cash - Operating,CORPORATE CARD SETTLEMENT,ACH,,24380.00,
JE-2621,2026-06-22,1010,Cash - Operating,CUSTOMER DEPOSIT - FAIRLIGHT MERCANTILE,INV-4491,44100.00,,
JE-2622,2026-06-23,1010,Cash - Operating,CHECK #10482 - MERIDIAN STAFFING,CHK10482,,38200.00,Week 24 contract labor
JE-2623,2026-06-24,1010,Cash - Operating,CHECK #10483 - SUMMIT OFFICE SUPPLY,CHK10483,,2140.00,PO-8867
JE-2624,2026-06-24,1010,Cash - Operating,CHECK #10484 - CASCADE LOGISTICS,CHK10484,,21600.00,Freight - Jun
JE-2625,2026-06-25,1010,Cash - Operating,CUSTOMER DEPOSIT - BRIGHTWATER INDUSTRIES,INV-4495,33200.00,,
JE-2626,2026-06-26,1010,Cash - Operating,CUSTOMER DEPOSIT - DUNMORE WHOLESALE,INV-4497,19800.00,,
JE-2627,2026-06-27,1010,Cash - Operating,CHECK #10485 - KESTREL LEGAL LLP,CHK10485,,4750.00,Matter FY26-114
JE-2628,2026-06-29,1010,Cash - Operating,CHECK #10486 - DELTA FREIGHT SERVICES,CHK10486,,1890.00,Freight - Jun wk3-4
JE-2629,2026-06-30,1010,Cash - Operating,PAYROLL ACH - PERIOD ENDING 06/27,ACH,,131200.00,
JE-2630,2026-06-30,1010,Cash - Operating,CUSTOMER DEPOSIT - FAIRLIGHT MERCANTILE,INV-4502,12400.00,,
